block1	32	1	15	1	1066
block1	49	1	20	1	872
block1	11	0	5	3	4000
block1	52	0	20	3	4000
block1	4	1	5	1	698
block1	7	1	5	1	873
block1	8	0	5	3	4000
block1	31	1	15	1	2023
block1	55	0	20	3	4000
block1	6	1	5	1	828
block1	19	1	10	1	693
block1	2	1	5	1	906
block1	39	0	15	3	4000
block1	5	1	5	1	575
block1	18	1	10	1	720
block1	25	0	10	3	4000
block1	22	0	10	3	4000
block1	3	1	5	1	977
block1	29	1	15	1	1091
block1	54	0	20	3	4000
block1	33	1	15	1	1102
block1	27	0	10	3	4000
block1	21	1	10	1	1049
block1	43	1	20	3	4000
block1	35	1	15	1	959
block1	24	0	10	3	4000
block1	56	0	20	3	4000
block1	40	0	15	3	4000
block1	38	0	15	3	4000
block1	14	0	5	3	4000
block1	23	0	10	3	4000
block1	17	1	10	1	1020
block1	46	1	20	1	1838
block1	34	1	15	1	1249
block1	26	0	10	3	4000
block1	50	0	20	3	4000
block1	9	0	5	3	4000
block1	12	0	5	3	4000
block1	28	0	10	3	4000
block1	45	1	20	1	1026
block1	30	1	15	1	990
block1	41	0	15	3	4000
block1	53	0	20	3	4000
block1	16	1	10	1	1545
block1	44	1	20	1	1075
block1	42	0	15	3	4000
block1	47	1	20	1	867
block1	51	0	20	3	4000
block1	36	0	15	3	4000
block1	1	1	5	1	665
