GMT_timestamp,local_timestamp,link,calibration,id,,,,,,,,,,,,,,
2020-07-26_22:28:43,2020-07-27_10:28:43,https://www.testable.org/experiment/2590/264248/start,0.9,ella,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
rowNo,test,type,trialNo,stim1,stimFormat,condition1,random,keyboard,key,ITI,counterTrial,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct
34,motion_coherence,test,27,left_24,.mp4,0.24,1,"left right",left,1000,1,1001,60,16.68,224880,left,1064,1
42,motion_coherence,test,35,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,227048,right,1144,1
38,motion_coherence,test,31,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,228920,left,847,1
22,motion_coherence,test,15,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,230802,left,861,1
53,motion_coherence,test,46,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,232936,left,1110,1
78,motion_coherence,test,71,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,234760,right,797,1
16,motion_coherence,test,9,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,237224,left,1443,1
21,motion_coherence,test,14,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,239320,right,1070,0
9,motion_coherence,test,2,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,241528,left,1174,0
17,motion_coherence,test,10,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,243690,left,1134,1
52,motion_coherence,test,45,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,245688,right,962,0
69,motion_coherence,test,62,left_12,.mp4,0.12,1,"left right",left,1000,1,1001,60,16.68,247776,left,1066,1
25,motion_coherence,test,18,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,250000,right,1187,1
13,motion_coherence,test,6,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,252104,left,1072,0
8,motion_coherence,test,1,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,254680,right,1545,1
41,motion_coherence,test,34,right_28,.mp4,0.28,1,"left right",right,1000,1,1001,60,16.68,256858,right,1157,1
31,motion_coherence,test,24,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,258968,left,1079,0
81,motion_coherence,test,74,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,261016,right,1026,0
63,motion_coherence,test,56,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,263136,left,1093,0
24,motion_coherence,test,17,right_32,.mp4,0.32,1,"left right",right,1000,1,1001,60,16.68,265416,right,1255,1
76,motion_coherence,test,69,right_16,.mp4,0.16,1,"left right",right,1000,1,1001,60,16.68,267560,left,1112,0
19,motion_coherence,test,12,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,269832,right,1248,0
35,motion_coherence,test,28,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,271872,left,1019,1
45,motion_coherence,test,38,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,273944,right,1039,1
26,motion_coherence,test,19,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,276458,right,1483,1
49,motion_coherence,test,42,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,278408,left,931,1
86,motion_coherence,test,79,left_08,.mp4,0.08,1,"left right",left,1000,1,1001,60,16.68,280458,left,1028,1
14,motion_coherence,test,7,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,282296,right,813,1
32,motion_coherence,test,25,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,284808,left,1491,1
148,motion_coherence,test,60,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,294331,left,1018,1
144,motion_coherence,test,56,right_04,.mp4,0.04,1,"left right",right,1000,1,1001,60,16.68,296496,right,1132,1
124,motion_coherence,test,36,right_20,.mp4,0.2,1,"left right",right,1000,1,1001,60,16.68,298656,left,1139,0
116,motion_coherence,test,28,left_20,.mp4,0.2,1,"left right",left,1000,1,1001,60,16.68,300938,left,1254,1
126,motion_coherence,test,38,right_12,.mp4,0.12,1,"left right",right,1000,1,1001,60,16.68,303400,right,1429,1
97,motion_coherence,test,9,left_32,.mp4,0.32,1,"left right",left,1000,1,1001,60,16.68,305808,left,1387,1
91,motion_coherence,test,3,right_24,.mp4,0.24,1,"left right",right,1000,1,1001,60,16.68,307920,right,1076,1
165,motion_coherence,test,77,left_16,.mp4,0.16,1,"left right",left,1000,1,1001,60,16.68,309736,left,790,1
130,motion_coherence,test,42,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,311650,left,885,1
146,motion_coherence,test,58,left_28,.mp4,0.28,1,"left right",left,1000,1,1001,60,16.68,313680,right,998,0
95,motion_coherence,test,7,right_08,.mp4,0.08,1,"left right",right,1000,1,1001,60,16.68,315544,left,842,0
