block1	32	1	15	1	1670
block1	45	1	20	1	969
block1	49	1	20	1	730
block1	29	1	15	1	1631
block1	52	0	20	3	4000
block1	15	1	10	1	829
block1	56	0	20	3	4000
block1	34	1	15	1	1290
block1	23	0	10	3	4000
block1	37	0	15	1	1811
block1	50	0	20	3	4000
block1	43	1	20	1	1251
block1	2	1	5	3	4000
block1	14	0	5	3	4000
block1	46	1	20	1	1177
block1	47	1	20	1	1478
block1	19	1	10	1	969
block1	53	0	20	3	4000
block1	4	1	5	1	767
block1	6	1	5	1	779
block1	3	1	5	1	833
block1	12	0	5	3	4000
block1	17	1	10	1	830
block1	40	0	15	3	4000
block1	5	1	5	1	545
block1	35	1	15	1	929
block1	31	1	15	1	2101
block1	25	0	10	3	4000
block1	33	1	15	1	1343
block1	11	0	5	3	4000
block1	9	0	5	3	4000
block1	26	0	10	3	4000
block1	55	0	20	3	4000
block1	22	0	10	3	4000
block1	30	1	15	1	766
block1	16	1	10	1	741
block1	21	1	10	1	1367
block1	39	0	15	3	4000
block1	18	1	10	1	747
block1	1	1	5	1	717
block1	20	1	10	1	1168
block1	38	0	15	3	4000
block1	44	1	20	1	717
block1	36	0	15	3	4000
block1	27	0	10	3	4000
block1	8	0	5	3	4000
block1	51	0	20	3	4000
block1	41	0	15	3	4000
block1	13	0	5	3	4000
block1	24	0	10	3	4000
