block1	13	0	5	3	4000
block1	17	1	10	1	996
block1	1	1	5	1	720
block1	3	1	5	1	587
block1	18	1	10	1	582
block1	9	0	5	1	405
block1	16	1	10	1	684
block1	21	1	10	1	1167
block1	43	1	20	1	890
block1	42	0	15	3	4000
block1	49	1	20	1	616
block1	31	1	15	1	2207
block1	2	1	5	1	839
block1	33	1	15	1	2576
block1	55	0	20	3	4000
block1	41	0	15	3	4000
block1	25	0	10	3	4000
block1	30	1	15	1	913
block1	37	0	15	3	4000
block1	27	0	10	3	4000
block1	26	0	10	3	4000
block1	45	1	20	1	847
block1	5	1	5	1	589
block1	35	1	15	1	830
block1	4	1	5	1	532
block1	34	1	15	1	1135
block1	39	0	15	3	4000
block1	15	1	10	1	748
block1	32	1	15	1	820
block1	38	0	15	3	4000
block1	40	0	15	3	4000
block1	53	0	20	3	4000
block1	11	0	5	3	4000
block1	24	0	10	3	4000
block1	22	0	10	3	4000
block1	28	0	10	3	4000
block1	19	1	10	1	635
block1	51	0	20	3	4000
block1	54	0	20	3	4000
block1	8	0	5	3	4000
block1	47	1	20	1	1572
block1	46	1	20	1	1144
block1	7	1	5	1	738
block1	10	0	5	3	4000
block1	56	0	20	3	4000
block1	23	0	10	3	4000
block1	50	0	20	3	4000
block1	20	1	10	1	2783
block1	48	1	20	1	1240
block1	44	1	20	1	986
